"site","survey_dat","latitude","longitude","n_otters","coords.x1","coords.x2"
"2017_H_01","2017/06/13",55.68129,-133.370499,"1",602458.144077281,6171812.41084763
"2017_H_01","2017/06/13",55.680126,-133.384644,"1",601571.851731736,6171662.08228947
"2017_H_01","2017/06/13",55.683109,-133.39151,"1",601132.467983447,6171983.98418104
"2017_H_01","2017/06/13",55.687454,-133.398102,"6",600706.872958043,6172457.88519088
"2017_H_01","2017/06/13",55.677181,-133.395096,"2",600922.287021646,6171319.11961376
"2017_H_01","2017/06/13",55.680134,-133.40155,"1",600508.900940685,6171638.34530554
"2017_H_01","2017/06/13",55.682785,-133.401367,"12",600513.607080012,6171933.60246339
"2017_H_01","2017/06/13",55.677906,-133.414276,"1",599714.446041364,6171372.05533871
"2017_H_01","2017/06/13",55.670311,-133.406708,"3",600209.710852432,6170537.82165602
"2017_H_01","2017/06/13",55.668968,-133.397598,"2",600786.080262196,6170401.57632455
"2017_H_01","2017/06/13",55.670788,-133.410782,"1",599952.285429264,6170585.02255287
"2017_H_01","2017/06/13",55.670124,-133.409973,"1",600004.855650458,6170512.30142981
"2017_H_01","2017/06/13",55.668713,-133.412994,"1",599818.459594132,6170350.94037923
"2017_H_01","2017/06/13",55.667927,-133.416351,"2",599609.329594662,6170258.65233668
"2017_H_01","2017/06/13",55.669147,-133.409668,"1",600026.529420499,6170404.02480651
"2017_H_01","2017/06/13",55.673531,-133.423248,"1",599161.382484302,6170872.36133322
"2017_H_01","2017/06/13",55.679821,-133.37355,"1",602270.158516181,6171644.4449747
"2017_H_01","2017/06/13",55.703995,-133.400558,"3",600510.03040581,6174294.93733891
"2017_H_01","2017/06/13",55.696404,-133.402023,"1",600437.444294434,6173448.11825071
"2017_H_01","2017/06/13",55.693138,-133.403473,"1",600354.68359081,6173082.59176145
"2017_H_01","2017/06/13",55.689583,-133.400864,"7",600527.787207683,6172690.78440918
"2017_H_01","2017/06/13",55.689545,-133.390106,"7",601204.109690979,6172702.20194341
"2017_H_01","2017/06/13",55.689499,-133.389832,"7",601221.451580529,6172697.4831292
"2017_H_01","2017/06/13",55.689636,-133.390015,"3",601209.594662246,6172712.46082146
"2017_H_01","2017/06/13",55.689648,-133.383362,"1",601627.755320414,6172723.52503919
"2017_H_01","2017/06/13",55.688053,-133.382614,"1",601678.912212701,6172547.13697688
"2017_H_01","2017/06/13",55.692844,-133.381119,"1",601760.442473368,6173082.45058223
"2017_H_01","2017/06/13",55.689014,-133.378616,"1",601927.72668819,6172659.94119043
"2017_H_01","2017/06/13",55.680443,-133.373596,"1",602265.643266308,6171713.59029931
"2017_H_01","2017/06/13",55.691071,-133.362961,"3",602906.37223571,6172911.9528097
"2017_H_01","2017/06/13",55.689541,-133.357407,"1",603259.501741393,6172749.95716486
"2017_H_01","2017/06/13",55.682083,-133.368042,"2",602610.54128632,6171904.28414909
"2017_H_01","2017/06/13",55.675625,-133.381119,"4",601805.169013625,6171166.39986271
"2017_H_01","2017/06/13",55.672958,-133.381912,"1",601762.228467723,6170868.46526265
"2017_H_01","2017/06/13",55.683666,-133.379776,"1",601868.714150246,6172063.13622541
"2017_H_01","2017/06/13",55.684475,-133.388062,"1",601345.704357935,6172141.01941895
"2017_H_01","2017/06/13",55.683258,-133.402786,"11",600423.184104286,6171984.18046295
"2017_H_01","2017/06/13",55.667957,-133.408218,"1",600120.759724484,6170273.69849521
"2017_H_01","2017/06/13",55.668655,-133.411209,"2",599930.868724992,6170347.05625994
"2017_H_01","2017/06/13",55.676907,-133.433044,"1",598536.884543946,6171234.07004773
"2017_H_01","2017/06/13",55.674073,-133.433657,"5",598505.46161884,6170917.84249178
"2017_H_01","2017/06/13",55.672249,-133.430969,"1",598679.082733777,6170718.69513297
"2017_H_01","2017/06/13",55.673492,-133.427017,"12",598924.471485398,6170862.64021332
"2017_H_01","2017/06/13",55.662968,-133.432953,"24",598577.64760256,6169683.1210003
"2017_H_01","2017/06/13",55.656342,-133.41925,"1",599456.378708828,6168965.36392436
"2017_H_01","2017/06/13",55.659824,-133.423828,"1",599159.567051766,6169346.27329807
"2017_H_01","2017/06/13",55.659767,-133.425949,"1",599026.287574042,6169336.9011921
"2017_H_01","2017/06/13",55.663696,-133.418854,"1",599462.640345954,6169784.25324665
"2017_H_01","2017/06/13",55.662369,-133.421265,"5",599314.349890098,6169633.13628245
"2017_H_01","2017/06/13",55.659576,-133.421387,"9",599313.748237423,6169322.16839253
"2017_M_02","2017/06/21",55.472855,-133.159195,"1",616357.595398617,6148952.45907712
"2017_M_03","2017/06/21",55.464462,-133.153534,"1",616740.185796969,6148028.08348533
"2017_M_02","2017/06/21",55.467472,-133.17366,"4",615459.105255486,6148329.39463584
"2017_M_03","2017/06/21",55.462708,-133.174713,"1",615406.459620103,6147797.56884903
"2017_M_03","2017/06/21",55.462681,-133.176941,"1",615265.686778126,6147790.86931312
"2017_M_03","2017/06/21",55.458973,-133.17572,"1",615353.701687584,6147380.31457954
"2017_M_03","2017/06/21",55.457355,-133.175613,"1",615365.190235777,6147200.46158865
"2017_M_03","2017/06/21",55.458363,-133.169785,"1",615730.727351002,6147322.30236117
"2017_M_03","2017/06/21",55.454464,-133.15625,"1",616597.989627764,6146911.08083975
"2017_M_03","2017/06/21",55.466183,-133.200287,"2",613779.688646576,6148142.07992567
"2017_M_03","2017/06/21",55.463009,-133.204239,"1",613538.989672383,6147782.45581609
"2017_M_03","2017/06/21",55.469387,-133.221085,"10",612455.848143592,6148464.74982936
"2017_M_02","2017/06/21",55.478146,-133.211517,"1",613035.556794493,6149454.86490109
"2017_M_02","2017/06/21",55.472572,-133.204391,"1",613501.900077152,6148846.26433893
"2017_M_02","2017/06/21",55.476574,-133.193527,"1",614176.970560012,6149309.34662305
"2017_M_02","2017/06/21",55.476768,-133.195023,"2",614081.867564661,6149328.47693881
"2017_M_02","2017/06/21",55.487724,-133.18721,"1",614543.831907943,6150560.37599779
"2017_M_02","2017/06/21",55.493855,-133.19487,"10",614042.164292519,6151229.96713703
"2017_M_02","2017/06/21",55.485275,-133.186432,"1",614600.094624783,6150289.16283442
"2017_M_02","2017/06/21",55.492455,-133.188492,"1",614449.117299616,6151084.67382372
"2017_M_02","2017/06/21",55.494236,-133.216248,"1",612690.641798457,6151237.49598635
"2017_M_02","2017/06/21",55.506054,-133.213745,"2",612814.956804551,6152556.53146946
"2017_M_02","2017/06/21",55.50943,-133.179153,"5",614989.589029131,6152988.86488471
"2017_M_02","2017/06/21",55.505924,-133.183258,"1",614740.580886642,6152591.97414002
"2017_M_02","2017/06/21",55.512859,-133.178375,"1",615028.713432855,6153371.6911319
"2017_M_02","2017/06/21",55.524097,-133.176376,"1",615122.109588176,6154625.43480295
"2017_M_02","2017/06/21",55.524902,-133.179932,"1",614895.306416083,6154709.12037275
"2017_H_02","2017/06/23",55.742424,-133.349731,"1",603601.913409778,6178645.9829326
"2017_H_02","2017/06/23",55.739788,-133.345352,"1",603883.797018975,6178359.21469139
"2017_H_02","2017/06/23",55.737988,-133.343948,"1",603976.721455558,6178161.02390657
"2017_H_02","2017/06/23",55.732716,-133.342651,"1",604072.174668784,6177576.32609614
